,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,EDUCATION,LIMIT_BAL,MARRIAGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,SEX,default_payment_next_month
0,34.0,27724.0,20354.0,14211.0,17125.0,13868.0,9980.0,1,241823.0,1,0,0,0,0,0,2,1346.0,1212.0,3797.0,1329.0,383.0,531.0,2,0
1,24.0,22258.0,21330.0,20607.0,21203.0,22967.0,27207.0,1,55776.0,2,0,0,0,0,0,0,333.0,128.0,574.0,835.0,3229.0,1177.0,1,0
2,24.0,66706.0,60910.0,58246.0,66914.0,60407.0,64209.0,1,71533.0,2,0,0,0,0,0,-1,553.0,3461.0,7000.0,3752.0,1363.0,4367.0,2,0
3,28.0,53869.0,51050.0,61518.0,63612.0,67561.0,70313.0,1,139726.0,2,0,0,0,0,0,0,2125.0,9843.0,1858.0,2706.0,3229.0,825.0,2,0
4,30.0,39481.0,36619.0,32980.0,40635.0,6019.0,-12806.0,2,30634.0,1,3,2,2,3,3,3,1689.0,528.0,270.0,54.0,29.0,13.0,1,1
5,33.0,101951.0,108721.0,107422.0,103119.0,66032.0,51833.0,2,90567.0,2,0,0,0,0,0,0,7918.0,4641.0,5816.0,2036.0,801.0,8294.0,1,0
6,48.0,52170.0,39183.0,31199.0,36136.0,34633.0,34603.0,4,60759.0,1,-2,-2,-2,-2,-2,-2,705.0,5128.0,3735.0,3048.0,2604.0,4965.0,2,0
7,53.0,-8813.0,-7966.0,-7854.0,-8473.0,-8547.0,-4456.0,2,40359.0,1,2,0,0,0,0,0,658.0,169.0,266.0,115.0,275.0,7.0,1,1
8,50.0,117986.0,114112.0,115611.0,78373.0,63455.0,44149.0,2,94978.0,2,-1,0,0,-1,-1,-1,10613.0,13478.0,1560.0,3153.0,2182.0,1914.0,1,1
9,36.0,-700.0,-5840.0,2973.0,-2288.0,-4544.0,-649.0,2,183327.0,1,-1,-1,-2,-2,-2,-2,337.0,8807.0,3457.0,1552.0,1966.0,7271.0,2,0
10,42.0,-15227.0,-15362.0,-5225.0,-9971.0,-7895.0,-4876.0,2,271128.0,1,0,0,0,0,0,0,702.0,1187.0,1340.0,652.0,3789.0,149.0,2,0
11,65.0,65977.0,62922.0,56513.0,53780.0,37659.0,28842.0,2,55503.0,2,0,0,0,0,0,0,3494.0,5310.0,3182.0,1516.0,1239.0,9419.0,1,0
12,30.0,119336.0,-6269.0,273798.0,269685.0,35528.0,-144678.0,2,472534.0,2,0,0,0,0,0,0,2219.0,88933.0,8880.0,16327.0,0.0,108994.0,1,0
13,38.0,102066.0,103785.0,110023.0,114381.0,101154.0,105761.0,2,200603.0,1,3,2,0,0,2,2,5345.0,3297.0,9351.0,2598.0,30191.0,2737.0,2,1
14,45.0,31573.0,16227.0,11852.0,15861.0,10800.0,14568.0,3,18378.0,2,0,0,0,0,0,0,806.0,9903.0,1998.0,1150.0,2709.0,380.0,2,0
15,26.0,28161.0,25829.0,19003.0,19728.0,5679.0,12260.0,2,17257.0,2,0,0,0,0,0,0,1438.0,781.0,3307.0,1039.0,17066.0,1096.0,1,0
16,31.0,13311.0,21020.0,3724.0,14986.0,6689.0,6781.0,1,76175.0,2,0,0,0,0,0,0,10756.0,402.0,23584.0,1429.0,1852.0,3346.0,1,0
17,25.0,30352.0,33128.0,32679.0,35834.0,37070.0,37862.0,3,37733.0,1,0,0,0,0,0,0,3076.0,716.0,3085.0,3436.0,1482.0,1739.0,1,0
18,42.0,55898.0,53182.0,52096.0,54741.0,49818.0,47895.0,1,132487.0,2,0,0,2,0,0,0,743.0,7824.0,2925.0,2093.0,2125.0,3744.0,2,0
19,37.0,-10913.0,-8399.0,-1561.0,-11823.0,-6069.0,-8202.0,1,383626.0,1,1,3,2,0,0,-1,2826.0,2444.0,870.0,2537.0,767.0,2323.0,1,0
20,43.0,4735.0,473.0,2685.0,4336.0,3261.0,9050.0,1,36549.0,2,1,-2,-2,-2,-2,-2,601.0,1061.0,390.0,610.0,822.0,53.0,2,0
21,25.0,30178.0,28456.0,28877.0,14355.0,12668.0,22950.0,2,227621.0,2,-1,0,0,0,0,0,1214.0,1654.0,187.0,509.0,254.0,283.0,2,0
22,28.0,11533.0,2692.0,1939.0,8779.0,9515.0,4591.0,2,146056.0,1,0,0,0,0,0,0,932.0,1388.0,2058.0,1035.0,354.0,3011.0,2,0
23,33.0,121046.0,129627.0,147712.0,132090.0,145627.0,131656.0,3,128118.0,1,2,-1,-1,-1,2,-1,14624.0,4901.0,3634.0,15206.0,5048.0,3961.0,2,0
24,32.0,99160.0,102371.0,95409.0,71123.0,54345.0,38841.0,2,95651.0,1,0,0,0,-1,0,0,1921.0,11353.0,817.0,1215.0,400.0,775.0,2,0
25,50.0,75875.0,48224.0,126649.0,201226.0,209693.0,205135.0,2,341096.0,1,2,0,0,0,0,0,2295.0,52572.0,39416.0,6422.0,5193.0,2760.0,2,1
26,29.0,-2967.0,-6650.0,-5230.0,-4714.0,-3831.0,5813.0,3,61035.0,1,-1,-1,2,0,-1,-1,167.0,419.0,599.0,801.0,3940.0,126.0,2,0
27,39.0,29082.0,53444.0,51982.0,50523.0,46771.0,57981.0,2,537980.0,2,0,0,0,0,0,0,37631.0,3513.0,4958.0,1578.0,12044.0,3289.0,2,1
28,28.0,85011.0,87750.0,89201.0,87373.0,93042.0,78659.0,1,84278.0,2,-2,-2,-2,-2,-2,-2,5148.0,3307.0,2848.0,7048.0,349.0,4530.0,2,0
29,37.0,20051.0,46506.0,38573.0,34176.0,26802.0,23841.0,2,161655.0,2,0,0,0,0,0,0,73181.0,3164.0,5040.0,2906.0,4391.0,127528.0,2,0
30,35.0,4755.0,-1817.0,-3057.0,-2807.0,-4050.0,5339.0,3,75681.0,2,0,0,0,0,0,0,624.0,1728.0,1307.0,297.0,1786.0,226.0,1,0
31,38.0,92515.0,93057.0,94167.0,99910.0,104739.0,99212.0,1,217793.0,2,0,0,-2,-1,0,0,3162.0,2522.0,2374.0,4430.0,5125.0,1987.0,2,0
32,44.0,-12183.0,-1926.0,-2103.0,-17211.0,-9799.0,-13196.0,3,498581.0,1,0,0,0,0,0,0,15443.0,656.0,551.0,920.0,1088.0,1838.0,1,0
33,31.0,-6540.0,-10525.0,-6644.0,-8102.0,-2496.0,-2697.0,2,348418.0,1,0,0,0,-1,-1,-1,976.0,972.0,2120.0,2332.0,1828.0,163.0,1,0
34,49.0,33897.0,32079.0,29186.0,37660.0,32458.0,26437.0,2,50648.0,2,1,2,2,-2,-2,-2,1044.0,421.0,965.0,130.0,486.0,1606.0,2,0
35,49.0,82911.0,90127.0,93311.0,84404.0,84541.0,76839.0,2,70899.0,1,-1,-1,-1,-1,-1,-1,1420.0,2790.0,547.0,263.0,1906.0,704.0,1,0
