AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,EDUCATION,LIMIT_BAL,MARRIAGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,SEX,default_payment_next_month
24,3913,3102,689,0,0,0,2,2.00E+04,1,2,2,-1,-1,-2,-2,0,689,0,0,0,0,2,1
26,2682,1725,2682,3272,3455,3261,2,1.20E+05,2,-1,2,0,0,0,2,0,1.00E+03,1.00E+03,1.00E+03,0,2.00E+03,2,1
34,29239,14027,13559,14331,14948,15549,2,9.00E+04,2,0,0,0,0,0,0,1518,1500,1.00E+03,1.00E+03,1.00E+03,5.00E+03,2,0
37,64400,57069,57608,19394,19619,20024,1,5.00E+04,2,0,0,0,0,0,0,2500,1815,657,1.00E+03,1.00E+03,800,1,0
29,367965,412023,445007,542653,483003,473944,1,5.00E+05,2,0,0,0,0,0,0,5.50E+04,4.00E+04,3.80E+04,20239,13750,13770,1,0
41,12137,6500,6500,6500,6500,2870,2,6.30E+05,2,-1,0,-1,-1,-1,-1,1.00E+03,6500,6500,6500,2870,0,2,0
23,50614,29173,28116,28771,29531,30211,3,5.00E+04,3,1,2,0,0,0,0,0,1500,1100,1200,1300,1100,2,0
24,15376,18010,17428,18338,17905,19104,1,2.00E+04,2,0,0,2,2,2,2,3200,0,1500,0,1650,0,1,1
39,38358,27688,24489,20616,11802,930,3,1.30E+05,2,0,0,0,0,0,-1,3.00E+03,1537,1.00E+03,2.00E+03,930,33764,2,0
26,41087,42445,45020,44006,46905,46012,2,7.00E+04,2,2,0,0,2,2,2,2007,3582,0,3601,0,1820,2,1
26,15329,16575,17496,17907,18375,11400,1,5.00E+04,2,0,0,0,0,0,0,1500,1500,1.00E+03,1.00E+03,1600,0,1,0
33,30518,29618,22102,22734,23217,23680,2,5.00E+04,2,2,0,0,0,0,0,1718,1500,1.00E+03,1.00E+03,1.00E+03,716,1,1
32,93036,84071,82880,80958,78703,75589,1,1.00E+05,2,0,0,0,0,0,0,3023,3511,3302,3204,3200,2504,1,0
40,186503,181328,180422,170410,173901,177413,2,2.80E+05,1,0,0,0,0,0,0,8026,8060,6300,6400,6400,6737,1,0
25,0,780,0,0,0,0,1,5.00E+04,2,1,-1,-1,-2,-2,-2,780,0,0,0,0,0,1,1
31,498,9075,4641,9976,17976,9477,1,2.80E+05,2,-1,-1,2,-1,0,-1,9075,0,9976,8.00E+03,9525,781,1,0
33,218668,221296,206895,628699,195969,179224,1,3.60E+05,2,0,0,0,0,0,0,1.00E+04,7.00E+03,6.00E+03,188840,2.80E+04,4.00E+03,1,0
25,67521,66999,63949,63699,64718,65970,1,7.00E+04,2,0,0,0,0,0,0,3.00E+03,4500,4042,2500,2800,2500,2,0
24,17447,18479,19476,19865,20480,20063,1,2.00E+04,2,0,0,0,0,0,0,1318,1315,704,928,912,1069,1,0
42,37042,36171,38355,39423,38659,39362,3,7.00E+04,2,1,2,2,2,2,0,0,3100,2.00E+03,0,1500,1500,1,1
45,1905,3640,162,0,151,2530,1,5.00E+05,1,-2,-2,-2,-2,-2,-2,3640,162,0,151,2530,0,2,0
34,16386,15793,8441,7142,-679,8321,3,1.80E+05,1,0,0,0,-1,-1,-1,8500,1500,7500,679,9.00E+03,2.00E+03,2,0
56,2097,4193,3978,4062,4196,4326,2,1.00E+04,1,2,2,2,0,0,0,2300,0,150,200,200,160,1,1
29,-190,-9850,-9850,10311,10161,7319,3,1.30E+05,2,1,-2,-2,-1,2,-1,0,0,20161,0,7319,13899,2,0
22,18565,17204,17285,18085,11205,5982,5,2.00E+04,2,2,0,0,0,0,0,0,1200,1.00E+03,500,1.00E+03,0,1,0
32,9076,5787,-684,5247,3848,3151,2,2.00E+05,1,-1,-1,-1,-1,2,-1,5818,15,9102,17,3165,1395,2,0
37,0,0,3155,0,2359,0,1,2.90E+05,2,1,-2,-1,-1,-1,-1,0,3155,0,2359,0,0,2,0
44,0,0,0,0,0,0,2,2.40E+05,2,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,2,1
30,26324,27471,28108,21993,19899,19771,3,6.00E+04,2,0,0,0,0,0,0,1576,1213,648,768,1140,0,1,1
44,131595,139060,126819,104430,104990,94058,2,4.00E+05,1,0,0,2,0,0,0,10700,3,3050,3.00E+03,3200,2800,2,0
49,48909,47863,21489,20414,19342,19482,3,5.00E+04,2,0,0,0,0,0,0,1676,1302,700,699,849,826,2,0
53,138180,140774,142460,144098,147124,149531,1,2.00E+05,1,2,2,2,2,2,2,6300,5500,5500,5500,5.00E+03,5.00E+03,1,1
39,7524,0,3968,3868,0,0,1,2.80E+05,2,-1,-1,-1,0,0,-2,0,3968,0,0,0,0,2,0
22,18722,18160,16997,13150,8866,7899,3,5.00E+04,1,0,0,0,0,0,0,1411,1194,379,281,321,197,2,0
30,-81,-303,32475,32891,33564,34056,1,3.80E+05,2,-2,-2,-1,0,0,0,223,33178,1171,1197,1250,5.00E+03,2,0
36,6108,2861,3277,3319,1150,1150,2,8.00E+04,1,-1,-1,-1,-1,-1,-1,2861,3279,3319,1150,1150,1035,2,0
52,713,2272,722,867,1150,5263,1,3.50E+05,2,-1,-1,-1,-1,-1,-1,2272,722,867,1150,5263,5011,1,0
24,52128,52692,54477,56076,60100,59713,1,1.00E+05,2,0,0,0,0,0,0,2.00E+03,2677,3076,5080,3.00E+03,2033,2,0
23,0,0,0,0,0,0,2,2.00E+04,2,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,1,0
36,163736,116422,99278,95766,97753,95927,1,1.80E+05,1,0,0,0,0,0,0,4655,2690,2067,2142,2217,1.00E+03,1,1
34,253454,247743,229049,220951,210606,188108,2,4.20E+05,1,0,0,0,0,0,0,9744,9553,7603,7830,7253,11326,1,0
22,28452,26145,26712,25350,17603,-780,2,3.00E+04,2,0,0,0,0,0,0,2.00E+03,1400,0,500,0,1560,2,0
34,10674,12035,13681,13269,14158,13891,2,2.40E+05,1,0,0,0,2,2,2,1500,1800,0,1.00E+03,0,327,1,0
47,0,0,0,0,0,0,1,2.40E+05,2,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,1,1
27,19269,20313,20852,17560,17918,9100,2,1.70E+05,2,0,0,0,0,0,0,1661,1200,351,358,182,0,2,1
34,197236,176192,93069,135668,132233,59875,1,2.00E+05,2,1,2,0,0,0,0,8.00E+03,5.00E+03,55500,5.00E+03,5.00E+03,8500,1,0
23,9168,10522,10205,9898,10123,12034,2,8.00E+04,1,1,2,3,2,0,0,1650,0,0,379,2091,1,2,0
60,-1100,-1100,21400,0,969,869,1,2.60E+05,1,1,-2,-1,-1,-1,-1,0,22500,0,969,1.00E+03,0,2,0
56,208775,182350,132257,101783,177145,169311,2,2.80E+05,1,0,0,0,0,0,0,8042,6700,5137,1.00E+05,7.00E+03,6321,2,0
34,23944,28049,32073,43129,47086,48699,1,1.40E+05,1,0,0,0,0,0,0,5.00E+03,5.00E+03,11885,5.00E+03,3.00E+03,5504,1,0
27,101640,104795,104855,74737,76058,77254,1,1.10E+05,2,0,0,0,0,0,0,5500,3900,3.00E+03,2900,3.00E+03,2800,2,0
22,28040,29092,29366,27737,28318,28806,2,5.00E+04,2,0,0,0,0,0,0,1510,1442,982,1017,1277,567,2,0
29,77883,81811,80250,61467,10662,11486,2,8.00E+04,1,0,0,2,0,0,0,5800,1.00E+03,600,400,1.00E+03,0,2,0
37,12212,26578,25331,26605,26279,1256,1,2.40E+05,2,-1,-1,2,0,0,-1,1.50E+04,0,2.00E+03,0,1256,65935,1,0
35,49608,12412,14873,17364,17770,17460,3,8.00E+04,2,0,-1,0,0,0,0,12500,6500,3.00E+03,2.00E+03,3.00E+03,2.00E+03,2,0
24,58024,57891,48839,18971,19323,19395,2,6.00E+04,1,0,0,0,0,0,0,2500,1600,3.00E+03,1.00E+03,737,2.00E+03,2,1
47,199436,202947,193936,196186,200162,189915,3,2.00E+05,2,2,2,2,2,2,2,8214,7.00E+03,6800,7134,0,6836,2,1
31,21703,21087,21461,20835,20219,20487,2,2.00E+04,2,1,5,4,4,3,2,0,1.00E+03,0,0,760,0,2,0
27,19625,20347,21669,23005,22499,22873,1,6.00E+04,2,2,0,0,0,2,0,1342,1664,2.00E+03,0,900,846,2,1
31,27123,27299,17985,20225,27407,10833,1,1.40E+05,2,0,0,2,0,0,2,2.50E+04,0,3.00E+03,7800,0,2500,1,0
